kelime,sesli,anlam,hece
saparta,aaa,Gemi bordasındaki top çıkarılan dört köşe boşluk ve açıklık,3
sapasağlam,aaaa,"Çok sağlam, her yanı sağlam",4
sapçık,aı,Küçük sap,2
sapı silik,aıii,"Kişiliksiz, sözünü dinletemeyen kimse",4
sapık,aı,"Tavır ve davranışları normal olmayan veya geleneklerden, törelerden ayrılan, anormal (kimse)",2
sapıkça,aıa,Sapık bir biçimde,3
sapıklaşma,aıaa,Sapıklaşmak işi,4
sapıklaşmak,aıaa,Sapık duruma gelmek,4
sapıklık,aıı,Sapık olma durumu,3
sapılma,aıa,Sapılmak işi,3
sapılmak,aıa,Sapma işi yapılmak,3
sapınç,aı,Özel bir görevin normal sonucuna ulaşmasına engel olan sapıklık; aberasyon,2
sapır sapır,aıaı,Güçlü ve sürekli bir biçimde,4
sapış,aı,Sapmak işi,2
sapıtış,aıı,Sapıtmak işi,3
sapıtma,aıa,Sapıtmak işi,3
sapıtmak,aıa,Doğru yoldan ayrılmak,3
sapkı,aı,Bir görevin ve özellikle bir fizyoloji görevinin ters bir yön alması,2
sapkın,aı,Doğru yoldan ayrılmış olan,2
sapkın kaya,aıaa,Buzların etkisiyle yerinden oynayıp uzaklara sürüklenmiş olan kaya,4
sapkınlık,aıı,Sapkın olma durumu,3
saplama,aaa,Saplamak işi,3
saplamak,aaa,Hızla batırmak,3
saplanış,aaı,Saplanmak işi,3
saplanma,aaa,Saplanmak işi,3
saplanmak,aaa,Hızla batmak,3
saplantı,aaı,"Kişinin etkisinden kendini kurtaramadığı, yersiz saçma düşünce; sabit fikir, fikrisabit, idefiks",3
saplantılı,aaıı,Saplantısı olan; sabit fikirli,4
saplayış,aaı,Saplamak işi,3
saplı,aı,Sapı olan,2
saplı meşe,aıee,"Kayıngiller familyasından, ak meşeler grubuna giren, 15-20 metre uzayabilen, yurdumuzda yetişen bir tür meşe (Quercus robur)",4
sapma,aa,Sapmak işi; inhiraf,2
sapmak,aa,Yön değiştirmek,2
sapot ağacı,aoaaı,"Sapotgillerin örnek bitkisi olan, lezzetli meyvesi ve sakız yapımında kullanılan sütlü salgısı için sıcak ülkelerde yetiştirilen bir ağaç (Achras sapota)",5
sapotgiller,aoie,"İki çeneklilerden, örnek bitkisi sapot ağacı olan, sıcak ülkelerde, genellikle Orta Amerika'da yetişen, bazı cinslerinden gütaperka çıkarılan bir bitki familyası",4
saprofit,aoi,çürükçül,3
sapsarı,aaı,"Her yanı sarı, çok sarı",3
sapsız,aı,Sapı olmayan,2
sapsız balta,aıaa,"Koruyucusu, dayanağı olmayan kimse",4
saptama,aaa,Saptamak işi; tespit,3
saptamak,aaa,Bir şeyi belirgin kılmak; tespit etmek,3
saptanım,aaı,Saptanmak işi,3
saptanımcılık,aaııı,"Hayvan türlerinin değişmeyip hep aynı durumda kaldığını ileri süren öğreti, türlerin saptanımı öğretisi",5
saptanış,aaı,Saptanmak işi,3
saptanma,aaa,Saptanmak işi,3
saptanmak,aaa,"Saptama işi yapılmak, tespit edilmek",3
saptayıcı,aaıı,"Saptayan, sabit kılan, sürekli kılan",4
saptayış,aaı,Saptamak işi,3
saptırıcı,aııı,"Saptıran, sapmaya yol açan, sapmaya sebep olan kimse",4
saptırıcılık,aıııı,Saptırıcı olma durumu,5
saptırılma,aııa,Saptırılmak işi,4
saptırılmak,aııa,Sapma işi yaptırılmak,4
saptırma,aıa,Saptırmak işi; spekülasyon,3
saptırmak,aıa,Sapma işini yaptırmak,3
sara,aa,"Zaman zaman kendini kaybederek olduğu yere düşme, vücutta şiddetli çırpınmalar ve ağız köpürmesi ile ortaya çıkan bir sinir hastalığı; tutarık, tutarak, tutarga, yilbik, epilepsi",2
saraç,aa,Koşum ve eyer takımları yapan veya satan kimse,2
saraçhane,aaae,"At takımları, araba koşumları, deriden ve meşinden eşya yapılan ve satılan yer",4
saraçlık,aaı,Saracın işi veya mesleği,3
sarahat,aaa,belginlik,3
sarahaten,aaae,"Açıkça, apaçık, açıktan açığa; sarahatle",4
sarahatle,aaae,sarahaten,4
sarak,aa,"Yapı yüzeylerinde yatay, enli, az çıkıntılı, süslü veya düz silme",2
saraka,aaa,"Üstü kapalı alay etme, laf dokundurma",3
sarakacı,aaaı,Saraka yapan,4
saralı,aaı,Sara hastalığı olan (kimse); tutarıklı,3
sararış,aaı,Sararmak işi,3
sararma,aaa,Sararmak işi,3
sararmak,aaa,"Sarı olmak, rengi sarıya dönmek",3
sarartı,aaı,Sarı olma durumu,3
sarartma,aaa,Sarartmak işi,3
sarartmak,aaa,"Rengini sarıya çevirmek, sararmasına yol açmak",3
sarat,aa,Büyük delikli kalbur,2
saray,aa,Hükümdarların veya devlet başkanlarının oturduğu büyük yapı,2
Saray,aa,Hükümdarların veya devlet başkanlarının oturduğu büyük yapı,2
saray çiçeği,aaiei,"Düğün çiçeğigillerden, tarlalarda yetişen, altmış kadar türü bulunan, birkaç türü süs bitkisi olarak çoğunlukla da hekimlikte kullanılan zehirli bir bitki; hezaren (I) (Delphinium)",5
saray lokması,aaoaı,Bir çeşit yumurtalı lokma tatlısı,5
saray menekşesi,aaeeei,Gösterişli ve bol çiçekli bir tür menekşe,6
Saraydüzü,aaüü,Sinop iline bağlı ilçelerden biri,4
Saraykent,aae,Yozgat iline bağlı ilçelerden biri,3
Sarayköy,aaö,Denizli iline bağlı ilçelerden biri,3
saraylı,aaı,Osmanlı Devleti'nde padişah sarayında bulunmuş olan (kadın),3
Sarayönü,aaöü,Konya iline bağlı ilçelerden biri,4
saraypatı,aaaı,"Pembe, kırmızı, eflatun veya beyaz renkli, papatya yaprağından daha iri yapraklı olan çiçeği genellikle sonbaharda açan, kış soğuklarına da dayanabilen bir süs bitkisi (Callistephus sinensis)",4
sarban,aa,deveci,2
sarbanbaşı,aaaı,Padişahların develerine bakan devecilerin başı,4
sarbanlık,aaı,devecilik,3
sardalye,aae,f,3
sardırma,aıa,Sardırmak işi,3
sardırmak,aıa,Sarma işini yaptırmak,3
sardoğan,aoa,Sarı renkli bir tür doğan,3
sardun,au,Balıkçıların kullandığı bir halat türü,2
sardunya,aua,"Sardunyagillerden, ana vatanı Güney Afrika olan, çoğunlukla pembe çiçekler açan, çoklu yıllık, otsu bir süs bitkisi (Geranium)",3
sardunyagiller,auaie,"İki çeneklilerden, sardunya, ıtır, turnagagası vb. bitkileri içine alan familya",5
sarf,a,"Harcama, tüketme, kullanma",1
sarf etmek,aee,"tüketmek, harcamak",3
sarfınazar,aıaa,Dikkate almama,4
sarfiyat,aia,"Harcanan şeylerin tümü; harcama, masraf",3
sargı,aı,"Esnek bir maddeden yapılmış uzun, dar ve ince şerit",2
sargı bezi,aıei,"Vücudun bir bölümünü yerinde tutmak veya yaranın üstünü kapatmak amacıyla kullanılan, keten veya pamuk ipliğinden üretilen, mikroplardan arındırılmış şerit; bağ (I), sargı",4
sargılama,aıaa,Sargılamak işi,4
sargılamak,aıaa,Sargı ile sarmak,4
sargılı,aıı,Sargısı olan,3
sargın,aı,içten,2
sargısız,aıı,Sargısı olmayan,3
sarhoş,ao,"Alkollü içki veya keyif verici bir madde sebebiyle kendini bilmeyecek durumda olan (kimse); esrik, başı dumanlı, demci, dumanlı, kafası bulutlu, kafası iyi, kafası dumanlı, kafası kıyak, mest (I), sermest",2
sarhoşça,aoa,"Sarhoş bir biçimde, sarhoş olarak; sermestane",3
sarhoşlaşma,aoaa,Sarhoşlaşmak durumu,4
sarhoşlaşmak,aoaa,Sarhoş duruma gelmek; sarhoş olmak,4
sarhoşluk,aou,"Sarhoş olma durumu; esriklik, matizlik, mestlik, sermestlik, sermestî",3
sarı,aı,"Yeşil ile turuncu arasında bir renk, limon kabuğu rengi",2
sarı benek,aıee,Gözdeki ağ tabakasının ortasında bulunan ve cisimlerin görüntülerinin en belirgin olarak oluştuğu sarı renkli duyarlı nokta; sarı nokta,4
sarı bez,aıe,"Görmeyenlerin tanınmak için kollarına taktıkları, üzerinde üç siyah noktanın bulunduğu sarı renkli bant",3
sarı çıyan,aııa,"Sinsi, hain sarışın kimse",4
sarı ırk,aıı,"Asya'da yaşayan, tenleri sarı renge yakın olan insan ırkı",3
sarı kart,aıa,"Sert oynayan, kurallara aykırı davranan oyuncuya ikaz amacıyla hakem tarafından gösterilen sarı renkli kart",3
sarı lira,aıia,"Ön yüzünde ortada kûfi tarzda “Türkiye Cumhuriyeti” yazısı ve altında basıldığı tarih, arka yüzünde ortada Atatürk’ün profil rölyefi, her iki yüzünün kenar çevresinde otuz iki adet yıldız ve çiçek motifleri bulunan, 7,016 g ağırlığında, 22 ayar (916,6 milyem) altın sikke; birlik, lira, ata lira, liralık",4
sarı sendika,aıeia,İşverenden yana olan sendikal örgüt,5
sarı sendikacılık,aıeiaıı,Sarı sendikacı olma durumu,7
sarı sıcak,aııa,"Türkiye'nin güney illerindeki yakıcı, çok bunaltıcı güneş ve sıcaklık",4
sarı yağ,aıa,tereyağı,3
sarı yağız,aıaı,Sarı benizli (erkek),4
sarıağı,aıaı,"Kışın yapraklarını döken, sarı çiçekli ve çalı görünüşünde bir bitki; zifin (Rhododendron luteun)",4
sarıağız,aıaı,"Gölge balığıgillerden, ağzının içi sarı, büyük pullarla örtülü bir tür balık; denizgüzeli (Sciaena aquilla)",4
sarıasma,aıaa,"Ötücü kuşlar takımının, sarıasmagiller familyasından, parlak sarı tüylü, kara kuyruklu bir tür kuş; sarıcık (Oriolus oriolus)",4
sarıasmagiller,aıaaie,Örnek hayvanı sarıasma olan bir kuş familyası,6
sarıbalık,aıaı,"Sazangillerden, büyük pullu, iri bir balık (Idus jesses)",4
sarıca,aıa,"Sarıyı andıran, sarıya yakın",3
Sarıcakaya,aıaaa,Eskişehir iline bağlı ilçelerden biri,5
sarıcalık,aıaı,kloroz,4
sarıcı,aıı,f,3
sarıcık,aıı,sarıasma,3
sarıcılık,aııı,f,4
sarıçalı,aıaı,"Ayrı taç yapraklı iki çeneklilerden, çiçekleri sarı, meyvesi ekşi ve kırmızı renkte, kabuğu ve kökü solucan düşürücü ilaç olarak kullanılan bir bitki; kadıntuzluğu, çobantuzluğu, amberbaris (Berberis vulgaris)",4
sarıçiçek,aıie,ölmez çiçek,4
sarıçiğdem,aıie,"Çiçekleri turuncuya çalan sarı renkli ve kase biçiminde olan, 7-10 cm arasında uzayan bir tür çiğdem (Crocus chrysanthus)",4
sarıdiken,aıie,"Dikenli, tüylü, iki veya çok yıllık otsu bir bitki (Scolymus hispanicus)",4
sarıerik,aıei,kayısı,4
sarıfiğ,aıi,Sarı renkli bir tür fiğ,3
Sarıgöl,aıö,Manisa iline bağlı ilçelerden biri,3
sarıgöz,aıö,"İzmaritgillerden, rengi altın sarısı olan, Atlantik Okyanusu'nda ve Akdeniz'de yaşayan bir balık (Sargus salvieri)",3
sarığıburma,aııua,Oklavaya sarılan baklava yufkasının hafifçe büzdürülerek çıkarılmasıyla sarığın üzerindeki çizgilere benzetilen bir tür hamur tatlısı; burma,5
sarıhalile,aıaie,"Doğu Hindistan'da yetişen bir tür bitkinin olgunlaşmadan önce toplanıp kurutulan, erik biçiminde, sarımtırak esmer renkli, sert, kokusuz taneleri (Terminalia citrina)",5
sarıhani,aıai,"Hanigillerden, oval gövdeli, vücudu ve burnu küçük pullarla kaplı, kızıl sarı renkli, tatlı su levreğine benzer kemikli bir Akdeniz balığı (Epinepheles gigas)",4
sarıhumma,aıua,"Çoğunlukla sıcak ülkelerde görülen, bir cins sivrisinek aracılığıyla bulaşan, tene sarı renk veren, ateşli bir hastalık",4
sarık,aı,Sarılarak meydana getirilen başlık; destar,2
Sarıkamış,aıaı,Kars iline bağlı ilçelerden biri,4
sarıkanat,aıaa,"Çinekoptan biraz büyük, yaklaşık 10-15 cm boyunda bir tür lüfer",4
Sarıkaya,aıaa,Yozgat iline bağlı ilçelerden biri,4
sarıkçı,aıı,"Sarık için gerekli tülbent, abani vb. kumaşları satan kimse",3
sarıkız,aıı,horoz mantarı,3
sarıklı,aıı,"Başına sarık sarmış olan, sarığı olan; destarlı",3
sarıkuyruk,aıuu,Sıcak ve ılık denizlerin kıyı bölgelerinde yaşayan kemikli bir tür balık,4
sarılaşma,aıaa,Sarılaşmak işi,4
sarılaşmak,aıaa,"Sarı bir renk almak, sararmak",4
sarılaştırma,aıaıa,Sarılaştırmak işi,5
sarılaştırmak,aıaıa,Sarı duruma getirmek,5
sarılgan,aıa,"Sapı yakınındaki başka bitkilere, başka şeylere sarılıp yükselen, otsu veya odunsu (sap, bitki); sarmaşan",3
sarılgan gövde,aıaöe,Tutunup sarılmaya yarayan uzun sürgün,5
sarılı,aıı,Üstünde sarı renk bulunan,3
sarılık,aıı,Sarı olma durumu,3
sarılıklı,aııı,Sarılık olan (kimse),4
sarılış,aıı,Sarılmak işi,3
sarılışma,aııa,Sarılışmak işi,4
sarılışmak,aııa,Birbirlerine sarılmak,4
sarılma,aıa,Sarılmak işi,3
sarılmak,aıa,Sarma işi yapılmak,3
sarım,aı,Sarmak işi,2
sarımlı,aıı,Sarılmış; burgulu,3
sarımsak hardalı,aıaaaı,sarımsak otu,6
sarımsak otu,aıaou,"Turpgillerden, beyaz, küçük çiçekli, ovulduğunda sarımsak kokusu veren bir bitki; sarımsak hardalı (Alliaria petolata)",5
sarımsak,aıa,"Zambakgillerden, 25-100 santimetre yüksekliğinde, yapraklarında, saplarında ve toprak altındaki soğanında kokulu yağ bulunan bir kültür bitkisi (Allium sativum)",3
sarımsaklama,aıaaa,Sarımsaklamak işi,5
sarımsaklamak,aıaaa,İçine sarımsak katmak,5
sarımsaklanma,aıaaa,Sarımsaklanmak işi,5
sarımsaklanmak,aıaaa,Sarımsaklama işine konu olmak,5
sarımsaklatma,aıaaa,Sarımsaklatmak işi,5
sarımsaklatmak,aıaaa,Sarımsaklı duruma getirmek,5
sarımsaklı,aıaı,İçinde sarımsak bulunan,4
sarımsı,aıı,"Rengi sarıyı andıran, sarıya benzeyen; sarımtırak",3
sarımtırak,aııa,sarımsı,4
sarınma,aıa,Sarınmak işi,3
sarınmak,aıa,Kendi üstüne sarmak,3
Sarıoğlan,aıoa,Kayseri iline bağlı ilçelerden biri,4
sarıpapatya,aıaaa,Çiçekleri sarı renkli papatya,5
sarısabır,aıaı,"Zambakgillerden, sıcak bölgelerde yetişen, yaprakları oldukça yüksek bir sapın tepesinde rozet biçiminde toplanmış olan, liflerinden halat yapılan bir süs bitkisi; azvay (Aloe vera)",4
sarısalkım,aıaı,"Baklagillerden, salkım durumunda sarı çiçekleri bulunan, bahçelerde süs bitkisi olarak yetiştirilen bir ağaç (Laburnum anagyroides)",4
sarış,aı,Sarmak işi,2
sarışın,aıı,Sarı saçlı ve ak tenli (kimse),3
sarışınca,aııa,Sarışına yakın,4
sarışınlık,aııı,Sarışın olma durumu,4
Sarıveliler,aıeie,Karaman iline bağlı ilçelerden biri,5
Sarıyahşi,aıai,Aksaray iline bağlı ilçelerden biri,4
Sarıyer,aıe,İstanbul iline bağlı ilçelerden biri,3
sarıyonca,aıoa,Sarı yapraklı bir tür yonca,4
Sarız,aı,Kayseri iline bağlı ilçelerden biri,2
sarızambak,aıaa,Sarı çiçekli bir tür zambak,4
sari,ai,Hint kadınlarına özgü giysi,2
sâri,i,Hint kadınlarına özgü giysi,1
sarig,ai,"Amerika’da yaşayan, genellikle yavrularını sırtında taşıyan, bazen de otçul olan bir tür sıçan (Didelphys dorsigera)",2
sarih,ai,belirgin,2
sarih meful,aieu,belirtili nesne,4
sarkaç,aa,"Durağan bir nokta çevresinde ağırlığının etkisiyle serbestçe salınım yapan cisim; rakkas, pandül",2
sarkaçlama,aaaa,Sarkaçlamak işi,4
sarkaçlamak,aaaa,Türlü tutuş ve duruşlarda gergin durumda bulunan vücut bölümlerini kendi ağırlıklarıyla düşmeye ve sallanmaya bırakmak,4
sarkaçlı,aaı,Sarkacı olan,3
sarkaçsız,aaı,Sarkacı olmayan,3
sarkık,aı,Aşağı doğru uzanmış veya sarkmış,2
sarkıklık,aıı,Sarkık olma durumu,3
sarkıl,aı,"Sarkaçla ilgili, hareketi sarkaç hareketine benzeyen",2
sarkıntı,aıı,"Aşağı doğru uzanan, sarkan şey",3
sarkıntılık etmek,aıııee,f,6
sarkıntılık,aııı,"Genellikle kadınlara sataşma, laf atma, rahatsız etme, huzur bozma; tasallut",4
sarkış,aı,Sarkmak işi,2
sarkıt,aı,"Mağaraların tavanında aşağıya doğru oluşan, genellikle koni biçiminde kalker birikintisi; damla taş, stalaktit",2
sarkıtma,aıa,Sarkıtmak işi,3
sarkıtmak,aıa,"Bir şeyin sarkmasını sağlamak; bırakmak, salmak",3
sarkma,aa,Sarkmak işi,2
sarkmak,aa,Aşağıya doğru uzamak veya uzanmak,2
sarkom,ao,Kötücül bağ dokusu uru,2
sarma,aa,Sarmak işi,2
sarma kafiye,aaaie,"Bir dörtlüğün birinci ile dördüncü, ikinci ile üçüncü dizelerinin uyaklı olması (a b b a); sarma uyak, sarma kafiye, sarmal uyak",5
sarmak,aa,"Çevresini çevirmek, çepeçevre dolanmak",2
sarmal,aa,"Dolana dolana oluşmuş, birbirini izleyen; helisel, helezonlu, helezoni, helezonik",2
sarmal metot,aaeo,sarmal yöntem,4
sarmal yöntem,aaöe,Herhangi bir çalışmada basitten karmaşığa giden işlemler bütünü; sarmal metot,4
sarmalama,aaaa,Sarmalamak işi,4
sarmalamak,aaaa,Sıkı sıkı sarmak,4
sarmalanma,aaaa,Sarmalanmak işi,4
sarmalanmak,aaaa,Sarmalama işine konu olmak veya sarmalama işi yapılmak,4
sarman,aa,"Azman, iri olan",2
sarmaş dolaş,aaoa,Birbirine sarılıp kucaklaşmış bir durumda,4
sarmaşan,aaa,sarılgan,3
sarmaşık,aaı,"Sarmaşıkgillerden, koyu yeşil renkli, değişik biçimli yaprakları olan, sap ve dallarından çıkan küçük köklerle dik, düz yerlere yapışarak tırmanan bitki (Hedera helix)",3
sarmaşıkgiller,aaıie,"Örnek bitkisi sarmaşık olan, iki çeneklilerden bir bitki familyası",5
sarmaşma,aaa,Sarmaşmak işi,3
sarmaşmak,aaa,"Birbirine sarılmak, kucaklaşmak",3
sarnıç gemisi,aıeii,"Petrol, benzin gibi akaryakıtları taşımaya yarayan gemi",5
sarnıç vagonu,aıaou,Akaryakıt taşımaya yarayan deposu olan vagon,5
sarnıç,aı,Yağmur sularının biriktirildiği üstü kapalı yapı,2
sarnıçlı,aıı,Sarnıcı olan,3
sarp,a,"Dik, çıkması ve geçilmesi güç (yer); yalman",1
sarpa,aa,"İzmaritlerden, boyu 35 santimetre kadar olan bir Akdeniz balığı (Boops salpa)",2
sarpın,aı,"Tahıl kuyusu, zahire ambarı; silo",2
sarpi,ai,f,2
sarplaşma,aaa,Sarplaşmak işi,3
sarplaşmak,aaa,Sarp bir duruma girmek,3
sarplık,aı,Sarp olma durumu,2
sarraf,aa,"Mesleği, değerli kâğıt ve metal paraları birbiriyle değiştirmek, altın bozmak, tahvil alışverişi yapmak olan kimse",2
sarrafiye,aaie,sarraflık hakkı,4
sarraflık,aaı,Sarrafın işi,3
sarsak sursak,aaua,"Sarsılarak, titreyerek",4
sarsak,aa,"Yaşlılık, hastalık vb. sebeplerle güçsüz kalarak vücudu titrer gibi sarsılan (kimse)",2
sarsakça,aaa,"Sarsak bir biçimde, titreyerek",3
sarsaklık,aaı,Sarsak olma durumu,3
sarsalama,aaaa,Sarsalamak işi,4
sarsalamak,aaaa,Birini veya bir şeyi sarsmak,4
sarsıcı,aıı,"Sarsan, sarsma özelliği gösteren",3
sarsıcılık,aııı,Sarsıcı olma durumu,4
sarsık,aı,Sarsılmış,2
sarsılış,aıı,Sarsılmak işi,3
sarsılma,aıa,Sarsılmak işi,3
sarsılmak,aıa,Sarsma işine konu olmak,3
sarsım,aı,Sarsmak işi,2
sarsıntı,aıı,"Sarsılmak işi, birden sallanma",3
sarsıntılı,aııı,Sarsıntısı olan,4
sarsıntısız,aııı,"Sarsıntısı olmayan, sarsılmayan",4
sarsış,aı,Sarsmak işi,2
sarsma,aa,Sarsmak işi,2
sarsmak,aa,"Birdenbire ve güçle kımıldatmak; oynatmak, sallamak, silkelemek, titretmek",2
Saruhanlı,auaı,Manisa iline bağlı ilçelerden biri,4
sası,aı,Çürük ve küf kokusu çıkaran,2
sasıma,aıa,"Sasımak işi, tefessüh",3
sasımak,aıa,Küf ve çürük gibi kokmak; tefessüh etmek,3
Sason,ao,Batman iline bağlı ilçelerden biri,2
satanist,aai,Şeytana tapan kimse,3
satanistlik,aaii,Satanist olma durumu,4
satanizm,aai,Şeytana tapma,3
sataşılma,aaıa,Sataşılmak işi,4
sataşılmak,aaıa,Sataşmak işine konu olmak,4
sataşkan,aaa,saldırgan,3
sataşma,aaa,Sataşmak işi,3
sataşmak,aaa,"Bir kimseyi rahatsız edecek davranışta bulunmak; bulaşmak, dahletmek",3
saten,ae,atlas (I),2
sathi,ai,yüzeysel,2
sathileşme,aiee,yüzeyselleşme,4
sathileşmek,aiee,yüzeyselleşmek,4
sathileştirme,aieie,yüzeyselleştirme,5
sathileştirmek,aieie,yüzeyselleştirmek,5
sathilik,aii,yüzeysellik,3
satı,aı,Satmak işi; satış,2
satıcı,aıı,Alıcıya mal satan kimse; vandöz,3
satıcılık,aııı,Satıcı olma durumu,4
satıh,aı,yüzey,2
satılık,aıı,Satışa çıkarılmış olan,3
satılış,aıı,Satılmak işi,3
satılma,aıa,Satılmak işi,3
satılmak,aıa,Satma işi yapılmak; gitmek,3
satım,aı,satış,2
satımcı,aıı,Satım işini yapan (kimse),3
satımlık,aıı,"Satıcının, mal sahibi adına sattığı şeyden aldığı yüzdelik",3
satın,aı,f,2
satın alma,aıaa,Kurum ve kuruluşlarda gereksinim duyulan malları almaya yetkili birim,4
satın almacı,aıaaı,Satın alma işlerini yürüten kimse; mübayaacı,5
satır,aı,Bir sayfa üzerinde yan yana gelen kelimelerden oluşan yazı sıralarından her biri,2
satır arası,aıaaı,Yazı satırlarının arasında kalan mesafe,5
satır başı,aıaı,Bir yazıda her satırın ilk kelimesinin başladığı yer,4
satır satır,aıaı,"Bütün satırların hepsini okuyarak, her satırla ilgilenerek",4
satır sonu,aıou,Bir yazıda her satırın son kelimesinin bittiği yer,4
satış,aı,Satmak işi; bey (II),2
satış bedeli,aıeei,satış fiyatı,5
satış belgesi,aıeei,f,5
satış değeri,aıeei,Bir malın satılabileceği fiyat,5
satış fiyatı,aıiaı,Malın satılırken uygulanan ücreti; satış bedeli,5
satış merkezi,aıeei,Bir malın satıldığı ana merkez; satış sarayı,5
satış mukavelesi,aıuaeei,satış sözleşmesi,7
satış ruhsatı,aıuaı,Bir malın satılmasına ilişkin izin belgesi,5
satış sarayı,aıaaı,satış merkezi,5
satış sözleşmesi,aıöeei,"Alım satım sırasında malın cinsi, miktarı ve ödeme şartlarını belirten yazılı anlaşma metni; satış mukavelesi, satış şartnamesi",6
satış şartnamesi,aıaaei,satış sözleşmesi,6
satış yeri,aıei,Bir malın satıldığı yer,4
satir,ai,yergi,2
satirik,aii,"Yergi ile ilgili, yergi niteliğinde olan",3
satlıcan,aıa,zatülcenp,3
satma,aa,Satmak işi,2
satmak,aa,Bir malı bir bedel karşılığında alıcıya vermek,2
satranç tahtası,aaaaı,Üzerinde satranç oynanan altmış dört kareli tahta vb. yüzey,5
satranç takımı,aaaıı,"Satranç oyununda gerekli olan altmış dört kareli tahta, siyah ve beyaz on altışardan otuz iki taşın oluşturduğu takım",5
satranç taşı,aaaı,Satrançta kullanılan taşlardan her biri,4
satranç vezni,aaei,"Halk şiirinde aruzun ""müfteilün müfteilün müfteilün müfteilün"" kalıbı",4
satranç,aa,İki kişi arasında altmış dört kareli bir tahta üzerinde değerleri ve adları değişik siyah ve beyaz on altışar taşla oynanan bir oyun; şatranç,2
satranççı,aaı,Satranç oynayan kimse,3
satranççılık,aaıı,Satranççı olma durumu,4
satrançlı,aaı,kareli,3
satrap,aa,Perslerde il yöneticisi; vali,2
satsuma,aua,"Kabuğu kolay soyulabilen, güzel kokulu bir tür mandalina",3
sattırma,aıa,Sattırmak işi,3
sattırmak,aıa,Satma işini yaptırmak veya satma zorunda bırakmak,3
Satürn,aü,"Güneş'e yakınlık bakımından altıncı sırada olan gezegen; Sekendiz, Zühal",2
satvet,ae,"Karşı konulmaz derecede zorlu, sindirici, boyun eğdirici güç",2
sauna,aua,Kuru buhar banyosu,3
sav,a,iddia,1
sava,aa,muştu,2
savacı,aaı,muştucu,3
savak,aa,Suyu başka yöne akıtmak için yapılan düzenek,2
savaklama,aaaa,Savaklamak işi,4
savaklamak,aaaa,Suyu arklara salmak,4
savan,aa,Pamuk ipliğinden yapılan kalınca kilim,2
savana,aaa,Ekvator kuşağındaki otsu bitkilerle kaplı çayırlar,3
savaş,aa,"Devletlerin diplomatik ilişkilerini keserek giriştikleri silahlı mücadele; harp (I), cenk, cidal, kıtal",2
savaşçı,aaı,"Savaşan, savaş durumunda bulunan; cenkçi, muharip",3
savaşçılık,aaıı,"Savaşçı olma durumu; savaşkanlık, cengâverlik, cenkçilik",4
savaşım,aaı,mücadele,3
savaşımcı,aaıı,mücadeleci,4
savaşkan,aaa,savaşçı,3
savaşma,aaa,Savaşmak işi; cenkleşme,3
savaşmak,aaa,"İki ve daha çok devlet silahlı mücadele etmek; cenkleşmek, muharebe etmek",3
Savaştepe,aaee,Balıkesir iline bağlı ilçelerden biri,4
savat,aa,Gümüş üstüne çelik kalemle bir desen oyulduktan sonra oyuk yerlere kurşun doldurulmasıyla yapılan süsleme,2
savatlama,aaaa,Savatlamak işi,4
savatlamak,aaaa,Gümüş üstüne açılan oyuklara kurşun doldurarak süsleme yapmak,4
savatlanma,aaaa,Savatlanmak işi,4
savatlanmak,aaaa,Savatlama işi yapılmak,4
savatlı,aaı,"Savatı olan, savatlanmış",3
savca,aa,iddianame,2
savcı,aı,"Kamu yararını gözetmek amacıyla devlet adına dava açmaya yetkili olan, mahkemelerde tespit ettiği suç delillerini ortaya koyarak sanıkları kovuşturan görevli; müddeiumumi",2
savcılık,aıı,Savcı olma durumu; müddeiumumilik,3
savdırma,aıa,Savdırmak işi,3
savdırmak,aıa,Savma işini yaptırmak,3
savı kanıtsama,aıaıaa,"Bir şeyi yine kendisine dayanarak, kendisini kanıt göstererek tanıtlamaya çalışma",6
savılma,aıa,"Savılmak işi; tardedilme, tardolunma",3
savılmak,aıa,"Savma işine konu olmak; tardedilmek, tardolunmak",3
savla,aa,Gemilerde bayrakları direğe çekmekte kullanılan ince ip,2
savlama,aaa,Savlamak işi,3
savlamak,aaa,İddia etmek,3
savlayıcı,aaıı,davacı,4
savlet,ae,Şiddetli saldırı,2
savma,aa,"Savmak işi; def, defetme, defleme, tardetme",2
savmacı,aaı,Savma işi yapan kimse,3
savmacılık,aaıı,Savmacının yaptığı iş,4
savmak,aa,"İstenmeyen birini yanından uzaklaştırmak; defetmek, deflemek, tardetmek",2
savruk,au,tutumsuz,2
savrukluk,auu,Savruk olma durumu,3
savrulma,aua,Savrulmak işi,3
savrulmak,aua,Savurma işi yapılmak,3
savruluş,auu,Savrulmak işi,3
savruntu,auu,Savrulurken dökülen kırıntı,3
savsak,aa,ihmalkâr,2
savsaklama,aaaa,Savsaklamak işi; ihmal,4
savsaklamak,aaaa,Belirli bir sebebi olmaksızın bir işi isteyerek geri bırakmak; sallamak,4
savsaklanma,aaaa,Savsaklanmak işi,4
savsaklanmak,aaaa,Savsaklama işine konu olmak; ihmal edilmek,4
savsaklayış,aaaı,Savsaklamak işi,4
savsama,aaa,Savsaklama; ihmal,3
savsamak,aaa,"Savsaklamak, ihmal etmek",3
savulma,aua,Savulmak işi,3
savulmak,aua,Bir şeyden çekinerek bulunduğu yerden uzaklaşmak,3
